Finished Track 00, Sector 01.  PS=AC, SS=F4
Finished Track 00, Sector 02.  PS=AE, SS=F4
Finished Track 00, Sector 03.  PS=AE, SS=F4
Finished Track 00, Sector 04.  PS=AE, SS=F4
Finished Track 37, Sector 09.  PS=AE, SS=F4
Finished Track 37, Sector 01.  PS=AE, SS=F4
Finished Track 37, Sector 02.  PS=AE, SS=F4
Finished Track 37, Sector 03.  PS=AE, SS=F4
Finished Track 37, Sector 04.  PS=AE, SS=F4
Finished Track 37, Sector 05.  PS=AE, SS=F4
Finished Track 37, Sector 06.  PS=AE, SS=F4
Finished Track 37, Sector 07.  PS=AE, SS=F4
Finished Track 37, Sector 08.  PS=AE, SS=F4
Finished Track 37, Sector 09.  PS=AE, SS=F4
Finished Track 38, Sector 01.  PS=AE, SS=F4
Finished Track 38, Sector 02.  PS=AE, SS=F4
Finished Track 38, Sector 03.  PS=AE, SS=F4
Finished Track 38, Sector 04.  PS=AE, SS=F4
Finished Track 38, Sector 05.  PS=AE, SS=F4
Finished Track 38, Sector 06.  PS=AE, SS=F4
Finished Track 38, Sector 07.  PS=AE, SS=F4
Finished Track 38, Sector 08.  PS=AE, SS=F4
Finished Track 38, Sector 09.  PS=AE, SS=F4
Finished Track 38, Sector 01.  PS=AE, SS=F4
Finished Track 38, Sector 02.  PS=AE, SS=F4
Finished Track 35, Sector 01.  PS=AE, SS=F4
Finished Track 35, Sector 02.  PS=AE, SS=F4
Finished Track 35, Sector 03.  PS=AE, SS=F4
Finished Track 35, Sector 04.  PS=AE, SS=F4
Finished Track 35, Sector 05.  PS=AE, SS=F4
Finished Track 35, Sector 06.  PS=AE, SS=F4
Finished Track 35, Sector 07.  PS=AE, SS=F4
Finished Track 35, Sector 08.  PS=AE, SS=F4
Finished Track 35, Sector 09.  PS=AE, SS=F4
Finished Track 35, Sector 01.  PS=AE, SS=F4
Finished Track 35, Sector 02.  PS=AE, SS=F4
Finished Track 35, Sector 03.  PS=AE, SS=F4
Finished Track 35, Sector 04.  PS=AE, SS=F4
Finished Track 35, Sector 05.  PS=AE, SS=F4
Finished Track 35, Sector 06.  PS=AE, SS=F4
Finished Track 35, Sector 07.  PS=AE, SS=F4
Finished Track 21, Sector 06.  PS=AE, SS=F4
Finished Track 21, Sector 07.  PS=AE, SS=F4
Finished Track 21, Sector 08.  PS=AE, SS=F4
Finished Track 21, Sector 09.  PS=AE, SS=F4
Finished Track 21, Sector 01.  PS=AE, SS=F4
Finished Track 21, Sector 02.  PS=AE, SS=F4
Finished Track 21, Sector 03.  PS=AE, SS=F4
Finished Track 21, Sector 04.  PS=AE, SS=F4
Finished Track 21, Sector 05.  PS=AE, SS=F4
Finished Track 21, Sector 06.  PS=AE, SS=F4
Finished Track 21, Sector 07.  PS=AE, SS=F4
Finished Track 21, Sector 08.  PS=AE, SS=F4
Finished Track 21, Sector 09.  PS=AE, SS=F4
Finished Track 22, Sector 01.  PS=AE, SS=F4
Finished Track 22, Sector 02.  PS=AE, SS=F4
Finished Track 22, Sector 03.  PS=AE, SS=F4
Finished Track 22, Sector 04.  PS=AE, SS=F4
Finished Track 22, Sector 05.  PS=AE, SS=F4
Finished Track 20, Sector 07.  PS=AE, SS=F4
Finished Track 20, Sector 08.  PS=AE, SS=F4
Finished Track 20, Sector 09.  PS=AE, SS=F4
Finished Track 21, Sector 01.  PS=AE, SS=F4
Finished Track 21, Sector 02.  PS=AE, SS=F4
Finished Track 21, Sector 03.  PS=AE, SS=F4
Finished Track 21, Sector 04.  PS=AE, SS=F4
Finished Track 21, Sector 05.  PS=AE, SS=F4
Finished Track 36, Sector 03.  PS=AE, SS=F4
Finished Track 36, Sector 04.  PS=AE, SS=F4
Finished Track 36, Sector 05.  PS=AE, SS=F4
Finished Track 36, Sector 06.  PS=AE, SS=F4
Finished Track 36, Sector 07.  PS=AE, SS=F4
Finished Track 24, Sector 09.  PS=AE, SS=F4
Finished Track 25, Sector 01.  PS=AE, SS=F4
Finished Track 25, Sector 02.  PS=AE, SS=F4
Finished Track 25, Sector 03.  PS=AE, SS=F4
Finished Track 25, Sector 04.  PS=AE, SS=F4
Finished Track 25, Sector 05.  PS=AE, SS=F4
Finished Track 25, Sector 06.  PS=AE, SS=F4
